ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-11-11 15:00:00+00:00,34,25,637551412,23.9,23.9,23.9,23.9,1,MDY   241220C00595000
2024-11-11 15:00:00+00:00,34,23,637548342,26.0,26.5,26.0,26.5,10,MDY   241220C00590000
2024-11-11 15:00:00+00:00,34,29,637548342,26.0,26.5,26.0,26.5,2,MDY   241220C00590000
2024-11-11 15:00:00+00:00,34,28,637549036,17.55,17.55,17.55,17.55,1,MDY   250620C00650000
2024-11-11 15:00:00+00:00,34,28,637542131,15.95,15.95,15.95,15.95,2,MDY   241220C00605000
2024-11-11 15:00:00+00:00,34,28,620763376,17.1,17.1,17.1,17.1,2,MDY   250117C00610000
2024-11-11 15:00:00+00:00,34,29,637545972,0.45,0.45,0.45,0.45,1,MDY   250620P00315000
2024-11-11 15:00:00+00:00,34,22,637549089,10.66,10.68,10.66,10.68,20,MDY   250620C00675000
2024-11-11 15:00:00+00:00,34,21,637535928,7.68,7.68,7.68,7.68,1,MDY   241220P00595000
2024-11-11 15:00:00+00:00,34,37,637535928,7.8,7.8,7.8,7.8,1,MDY   241220P00595000
2024-11-11 15:00:00+00:00,34,26,637539047,13.18,13.18,13.18,13.18,100,MDY   241220C00610000
2024-11-11 15:00:00+00:00,34,26,637551438,10.43,10.43,10.43,10.43,100,MDY   241220C00615000
2024-11-11 15:00:00+00:00,34,35,620780274,0.05,0.05,0.05,0.05,1,MDY   241115P00550000
2024-11-11 15:00:00+00:00,34,28,620760529,10.35,10.35,10.35,10.35,1,MDY   250919C00700000
2024-11-11 15:00:00+00:00,34,37,637546706,1.0,1.0,1.0,1.0,4,MDY   241220C00655000
2024-11-11 15:00:00+00:00,34,23,637535928,7.0,7.0,7.0,7.0,1,MDY   241220P00595000
2024-11-11 15:00:00+00:00,34,33,637545261,4.0,4.0,4.0,4.0,1,MDY   241220C00635000
2024-11-11 15:00:00+00:00,34,29,637542922,0.45,0.45,0.45,0.45,1,MDY   250620P00320000
2024-11-11 16:00:00+00:00,34,36,637539761,37.85,37.85,37.85,37.85,3,MDY   250620C00610000
2024-11-11 16:00:00+00:00,34,23,637542161,19.6,19.6,19.6,19.6,1,MDY   241220C00600000
2024-11-11 16:00:00+00:00,34,28,620768156,0.92,0.92,0.92,0.92,1,MDY   241115P00590000
2024-11-11 16:00:00+00:00,34,37,620768156,1.0,1.0,1.0,1.0,4,MDY   241115P00590000
2024-11-11 16:00:00+00:00,34,29,620764118,27.97,27.97,27.97,27.97,1,MDY   241115C00580000
2024-11-11 16:00:00+00:00,34,34,620764118,27.59,27.65,27.59,27.65,2,MDY   241115C00580000
2024-11-11 16:00:00+00:00,34,35,620764118,28.45,28.45,28.45,28.45,1,MDY   241115C00580000
2024-11-11 16:00:00+00:00,34,29,620776247,11.17,11.17,11.17,11.17,1,MDY   241115C00600000
2024-11-11 16:00:00+00:00,34,35,620776247,11.45,11.45,11.45,11.45,1,MDY   241115C00600000
2024-11-11 16:00:00+00:00,34,20,637542161,20.9,20.9,20.9,20.9,2,MDY   241220C00600000
2024-11-11 16:00:00+00:00,34,26,620768156,1.0,1.0,1.0,1.0,5,MDY   241115P00590000
2024-11-11 16:00:00+00:00,34,34,620776247,10.79,10.79,10.72,10.72,2,MDY   241115C00600000
2024-11-11 17:00:00+00:00,34,26,637539047,14.05,14.05,14.05,14.05,5,MDY   241220C00610000
2024-11-11 17:00:00+00:00,34,35,620776247,10.78,10.78,10.78,10.78,1,MDY   241115C00600000
2024-11-11 17:00:00+00:00,34,21,637542161,20.56,20.56,20.56,20.56,1,MDY   241220C00600000
2024-11-11 17:00:00+00:00,34,29,637542161,21.0,21.1,20.5,21.1,4,MDY   241220C00600000
2024-11-11 17:00:00+00:00,34,28,620764161,4.98,4.98,4.98,4.98,1,MDY   241115C00610000
2024-11-11 17:00:00+00:00,34,37,620759357,7.7,7.7,7.7,7.7,2,MDY   250117C00635000
